time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517695.4163823,0.0,-1.0,27.0,4.0,-2.0,-3.0,-2.0,-5.0,-0.41217041015625,-0.0118408203125,0.01153564453125,0.91094970703125,0.009765625,-0.80810546875,0.71044921875
1543517695.4233778,0.0,-3.0,3.0,-1.0,-3.0,1.0,33.0,-2.0,-0.4122314453125,-0.01177978515625,0.01153564453125,0.91094970703125,0.0048828125,-0.806640625,0.69287109375
1543517695.4383826,-8.0,-2.0,4.0,-5.0,0.0,5.0,-16.0,4.0,-0.4122314453125,-0.01177978515625,0.01153564453125,0.91094970703125,0.0048828125,-0.806640625,0.69287109375
1543517695.4463644,6.0,-2.0,4.0,7.0,1.0,-2.0,-4.0,8.0,-0.41162109375,-0.01171875,0.0115966796875,0.91119384765625,0.01123046875,-0.7880859375,0.71337890625
1543517695.45338,2.0,-5.0,-47.0,-13.0,-7.0,-6.0,4.0,-9.0,-0.41162109375,-0.01171875,0.0115966796875,0.91119384765625,0.01123046875,-0.7880859375,0.71337890625
1543517695.4623578,-31.0,-32.0,-90.0,-52.0,-16.0,-9.0,-12.0,-28.0,-0.41156005859375,-0.0115966796875,0.01123046875,0.91119384765625,0.0244140625,-0.779296875,0.70947265625
1543517695.4763477,13.0,13.0,88.0,29.0,8.0,4.0,1.0,21.0,-0.41156005859375,-0.0115966796875,0.01123046875,0.91119384765625,0.0244140625,-0.779296875,0.70947265625
1543517695.4833488,7.0,16.0,62.0,23.0,9.0,5.0,0.0,7.0,-0.41070556640625,-0.01043701171875,0.0107421875,0.91162109375,0.0,-0.80712890625,0.7509765625
1543517695.4993536,-1.0,-4.0,-31.0,-3.0,-2.0,-2.0,2.0,7.0,-0.41070556640625,-0.01043701171875,0.0107421875,0.91162109375,0.0,-0.80712890625,0.7509765625
1543517695.5063324,-3.0,9.0,67.0,19.0,5.0,3.0,-5.0,34.0,-0.41180419921875,-0.00927734375,0.01080322265625,0.9111328125,-0.03662109375,-0.79541015625,0.67919921875
1543517695.514327,0.0,-6.0,-96.0,-16.0,1.0,1.0,1.0,-30.0,-0.41180419921875,-0.00927734375,0.01080322265625,0.9111328125,-0.03662109375,-0.79541015625,0.67919921875
1543517695.5213325,-5.0,-10.0,18.0,-25.0,-3.0,-9.0,-9.0,-13.0,-0.4122314453125,-0.0089111328125,0.010498046875,0.91094970703125,0.02392578125,-0.83154296875,0.7060546875
1543517695.5363123,5.0,14.0,100.0,24.0,8.0,3.0,-2.0,14.0,-0.4122314453125,-0.0089111328125,0.010498046875,0.91094970703125,0.02392578125,-0.83154296875,0.7060546875
