time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517678.1752834,-3.0,-1.0,-5.0,1.0,0.0,-3.0,-3.0,-1.0,-0.417236328125,-0.0125732421875,0.0111083984375,0.90863037109375,0.01220703125,-0.80078125,0.6923828125
1543517678.189276,0.0,-1.0,4.0,-1.0,-3.0,-2.0,-1.0,0.0,-0.417236328125,-0.0125732421875,0.01104736328125,0.90863037109375,0.017578125,-0.8076171875,0.6875
1543517678.1962745,0.0,0.0,-1.0,0.0,-2.0,-1.0,1.0,-1.0,-0.417236328125,-0.0125732421875,0.01104736328125,0.90863037109375,0.01708984375,-0.802734375,0.68701171875
1543517678.2122633,-1.0,-1.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,-0.417236328125,-0.0125732421875,0.01104736328125,0.90863037109375,0.01708984375,-0.802734375,0.68701171875
1543517678.2352495,-2.0,-2.0,-3.0,-1.0,3.0,-2.0,-2.0,-3.0,-0.417236328125,-0.0125732421875,0.01104736328125,0.90863037109375,0.0126953125,-0.80078125,0.6865234375
1543517678.24925,-3.0,1.0,0.0,-3.0,-2.0,1.0,-1.0,1.0,-0.4173583984375,-0.01251220703125,0.010986328125,0.9085693359375,0.01123046875,-0.80615234375,0.69775390625
1543517678.2562354,-1.0,-3.0,-1.0,-1.0,-2.0,0.0,1.0,-3.0,-0.41729736328125,-0.01251220703125,0.010986328125,0.9085693359375,0.00732421875,-0.80029296875,0.70263671875
1543517678.2722783,0.0,-1.0,-1.0,1.0,-2.0,-1.0,-7.0,-2.0,-0.41729736328125,-0.01251220703125,0.010986328125,0.9085693359375,0.00732421875,-0.80029296875,0.70263671875
1543517678.295214,0.0,-2.0,3.0,-1.0,0.0,-2.0,2.0,2.0,-0.41729736328125,-0.012451171875,0.010986328125,0.90863037109375,0.00537109375,-0.80126953125,0.70166015625
1543517678.3092058,-2.0,1.0,-7.0,-2.0,-1.0,-1.0,-2.0,-2.0,-0.41729736328125,-0.012451171875,0.010986328125,0.90863037109375,0.0009765625,-0.80712890625,0.69873046875
1543517678.3162024,-2.0,0.0,-13.0,-2.0,-3.0,0.0,1.0,0.0,-0.417236328125,-0.01239013671875,0.010986328125,0.90863037109375,0.0068359375,-0.80224609375,0.703125
1543517678.3321934,0.0,-3.0,5.0,-1.0,0.0,1.0,-12.0,-3.0,-0.417236328125,-0.01239013671875,0.010986328125,0.90863037109375,0.0068359375,-0.80224609375,0.703125
1543517678.3551786,-4.0,2.0,0.0,-2.0,-4.0,4.0,11.0,4.0,-0.417236328125,-0.01239013671875,0.010986328125,0.90863037109375,0.01171875,-0.80810546875,0.68994140625
1543517678.3691711,-10.0,-19.0,-63.0,-26.0,-12.0,-9.0,-9.0,-8.0,-0.417236328125,-0.01239013671875,0.010986328125,0.90863037109375,0.01513671875,-0.80126953125,0.69287109375
1543517678.3761685,-2.0,2.0,3.0,5.0,1.0,-3.0,-4.0,-1.0,-0.4171142578125,-0.01214599609375,0.01104736328125,0.90869140625,0.01416015625,-0.81396484375,0.7021484375
1543517678.3922093,2.0,6.0,29.0,10.0,1.0,-1.0,1.0,-1.0,-0.4171142578125,-0.01214599609375,0.01104736328125,0.90869140625,0.01416015625,-0.81396484375,0.7021484375
1543517678.4151452,2.0,2.0,1.0,-1.0,1.0,-2.0,1.0,-1.0,-0.4173583984375,-0.01190185546875,0.01104736328125,0.9085693359375,0.01513671875,-0.8173828125,0.6669921875
1543517678.4281926,1.0,-5.0,-22.0,-5.0,0.0,-1.0,3.0,-6.0,-0.4166259765625,-0.01171875,0.01092529296875,0.908935546875,0.0185546875,-0.79638671875,0.69140625
1543517678.438131,-3.0,4.0,18.0,8.0,2.0,-1.0,-2.0,-6.0,-0.41619873046875,-0.01123046875,0.0107421875,0.90911865234375,0.00537109375,-0.775390625,0.70166015625
1543517678.4521248,1.0,7.0,45.0,10.0,3.0,0.0,-8.0,14.0,-0.4166259765625,-0.01080322265625,0.010498046875,0.908935546875,0.00830078125,-0.8154296875,0.71435546875
1543517678.4591382,15.0,-2.0,-16.0,1.0,1.0,1.0,10.0,32.0,-0.4168701171875,-0.01019287109375,0.010498046875,0.9088134765625,-0.00146484375,-0.8154296875,0.705078125
