time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517447.4486108,-1.0,1.0,0.0,-2.0,-6.0,-3.0,15.0,-4.0,-0.47161865234375,0.0338134765625,0.00714111328125,0.881103515625,-0.0673828125,-0.88525390625,0.5849609375
1543517447.4616034,0.0,-2.0,-2.0,0.0,-3.0,-2.0,-4.0,-1.0,-0.4716796875,0.03375244140625,0.00714111328125,0.881103515625,-0.06884765625,-0.8837890625,0.578125
1543517447.4705982,-1.0,-4.0,-2.0,-1.0,-1.0,-3.0,0.0,-2.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.06689453125,-0.888671875,0.58251953125
1543517447.4856427,-3.0,-4.0,-3.0,-2.0,-4.0,2.0,-2.0,-1.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.06689453125,-0.888671875,0.58251953125
1543517447.4935842,-3.0,-3.0,0.0,-2.0,-2.0,4.0,3.0,-2.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.0693359375,-0.88232421875,0.587890625
1543517447.5076296,0.0,0.0,-1.0,-4.0,-2.0,-7.0,-4.0,-2.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.0693359375,-0.88232421875,0.587890625
1543517447.5155904,-1.0,-4.0,-3.0,-3.0,-3.0,-5.0,0.0,-3.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.0712890625,-0.88525390625,0.58544921875
1543517447.5305653,-1.0,-2.0,0.0,-1.0,-2.0,1.0,1.0,1.0,-0.4716796875,0.03375244140625,0.007080078125,0.881103515625,-0.0712890625,-0.88525390625,0.58544921875
1543517447.5375588,-1.0,0.0,-1.0,-2.0,0.0,1.0,1.0,0.0,-0.47149658203125,0.03375244140625,0.007080078125,0.88116455078125,-0.0712890625,-0.88623046875,0.5908203125
1543517447.5455542,0.0,0.0,2.0,1.0,2.0,-1.0,-3.0,-4.0,-0.47149658203125,0.03375244140625,0.007080078125,0.88116455078125,-0.0712890625,-0.88623046875,0.5908203125
1543517447.552551,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,-1.0,-0.47137451171875,0.0338134765625,0.00714111328125,0.8812255859375,-0.07080078125,-0.888671875,0.58056640625
1543517447.5675974,-2.0,1.0,-2.0,-1.0,-2.0,-2.0,-3.0,-1.0,-0.47137451171875,0.0338134765625,0.00714111328125,0.8812255859375,-0.07080078125,-0.888671875,0.58056640625
1543517447.5755448,0.0,-1.0,-4.0,-2.0,0.0,-3.0,-3.0,0.0,-0.47125244140625,0.03387451171875,0.00726318359375,0.88128662109375,-0.06982421875,-0.88134765625,0.58251953125
1543517447.5905309,-1.0,-1.0,3.0,2.0,-2.0,1.0,8.0,-2.0,-0.47125244140625,0.03387451171875,0.00726318359375,0.88128662109375,-0.06982421875,-0.88134765625,0.58251953125
1543517447.5975266,-2.0,-2.0,-3.0,-1.0,-2.0,-1.0,5.0,-1.0,-0.4710693359375,0.033935546875,0.0074462890625,0.88140869140625,-0.0693359375,-0.8828125,0.58349609375
1543517447.6055205,1.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,-0.4710693359375,0.033935546875,0.0074462890625,0.88140869140625,-0.0693359375,-0.8828125,0.58349609375
1543517447.6135154,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0,-0.470947265625,0.033935546875,0.00762939453125,0.8814697265625,-0.0634765625,-0.88134765625,0.57666015625
1543517447.6275089,-2.0,-4.0,-2.0,0.0,1.0,-2.0,-11.0,-1.0,-0.470947265625,0.033935546875,0.00762939453125,0.8814697265625,-0.0634765625,-0.88134765625,0.57666015625
1543517447.6345034,3.0,1.0,3.0,1.0,1.0,3.0,10.0,5.0,-0.470703125,0.033935546875,0.00775146484375,0.881591796875,-0.06298828125,-0.87939453125,0.5810546875
1543517447.6505027,-3.0,-2.0,-1.0,-4.0,-2.0,-5.0,-9.0,-4.0,-0.470703125,0.033935546875,0.00775146484375,0.881591796875,-0.06298828125,-0.87939453125,0.5810546875
1543517447.6574903,0.0,3.0,11.0,3.0,2.0,-1.0,1.0,-3.0,-0.47052001953125,0.033935546875,0.00787353515625,0.8817138671875,-0.068359375,-0.8876953125,0.5830078125
1543517447.6654859,-3.0,-2.0,-5.0,-1.0,-5.0,-2.0,3.0,-3.0,-0.47052001953125,0.033935546875,0.00787353515625,0.8817138671875,-0.068359375,-0.8876953125,0.5830078125
1543517447.6724815,7.0,4.0,14.0,-16.0,-10.0,2.0,1.0,4.0,-0.47027587890625,0.033935546875,0.00811767578125,0.8818359375,-0.07373046875,-0.890625,0.58544921875
1543517447.6874743,-6.0,-6.0,-11.0,-7.0,0.0,-2.0,-7.0,-2.0,-0.47027587890625,0.033935546875,0.00811767578125,0.8818359375,-0.07373046875,-0.890625,0.58544921875
1543517447.6944683,-13.0,6.0,57.0,51.0,-6.0,-8.0,-17.0,-5.0,-0.47088623046875,0.03424072265625,0.00860595703125,0.8814697265625,-0.10888671875,-0.94287109375,0.55859375
1543517447.7104604,-21.0,3.0,0.0,26.0,1.0,-5.0,2.0,-7.0,-0.47088623046875,0.03424072265625,0.00860595703125,0.8814697265625,-0.10888671875,-0.94287109375,0.55859375
1543517447.7174754,8.0,-9.0,-42.0,-37.0,2.0,3.0,-30.0,1.0,-0.47064208984375,0.0333251953125,0.008056640625,0.88165283203125,-0.02978515625,-0.88232421875,0.58544921875
1543517447.7254517,10.0,7.0,29.0,22.0,-1.0,2.0,50.0,-2.0,-0.47064208984375,0.0333251953125,0.008056640625,0.88165283203125,-0.02978515625,-0.88232421875,0.58544921875
1543517447.732447,1.0,-3.0,-5.0,-7.0,1.0,-4.0,-15.0,-2.0,-0.47027587890625,0.03289794921875,0.0079345703125,0.8818359375,-0.056640625,-0.81640625,0.59814453125
1543517447.7474751,-4.0,-6.0,-13.0,-23.0,-6.0,0.0,-18.0,11.0,-0.47027587890625,0.03289794921875,0.0079345703125,0.8818359375,-0.056640625,-0.81640625,0.59814453125
1543517447.7544343,0.0,1.0,-3.0,4.0,5.0,1.0,14.0,1.0,-0.47174072265625,0.03265380859375,0.00750732421875,0.881103515625,-0.06201171875,-0.86376953125,0.59423828125
