emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-37.0,21.0,-5.0,9.0,5.0,10.0,3.0,3.0,0.96240234375,-0.18994140625,0.18603515625,-0.42279052734375,-0.4742431640625,-0.38372802734375,0.670166015625
34.0,-9.0,11.0,-4.0,-2.0,2.0,6.0,2.0,0.96240234375,-0.18994140625,0.18603515625,-0.42279052734375,-0.4742431640625,-0.38372802734375,0.670166015625
-17.0,-9.0,-6.0,1.0,1.0,3.0,-4.0,-6.0,0.97216796875,-0.20654296875,0.19482421875,-0.42327880859375,-0.47430419921875,-0.3836669921875,0.66986083984375
-28.0,28.0,-1.0,24.0,3.0,15.0,5.0,-13.0,0.97216796875,-0.20654296875,0.19482421875,-0.42327880859375,-0.47430419921875,-0.3836669921875,0.66986083984375
-35.0,7.0,-2.0,-11.0,-4.0,-11.0,-10.0,-18.0,0.97412109375,-0.20166015625,0.205078125,-0.42364501953125,-0.4737548828125,-0.3839111328125,0.66986083984375
14.0,-26.0,-14.0,-4.0,-1.0,-6.0,1.0,55.0,0.95751953125,-0.208984375,0.2021484375,-0.42413330078125,-0.4732666015625,-0.38421630859375,0.66973876953125
-54.0,-1.0,-5.0,2.0,3.0,8.0,-2.0,-33.0,0.95751953125,-0.208984375,0.2021484375,-0.42413330078125,-0.4732666015625,-0.38421630859375,0.66973876953125
4.0,2.0,3.0,-3.0,-3.0,-10.0,-2.0,1.0,0.9677734375,-0.205078125,0.17724609375,-0.42474365234375,-0.47308349609375,-0.384521484375,0.6693115234375
-17.0,13.0,-7.0,3.0,0.0,4.0,-1.0,-9.0,0.99755859375,-0.169921875,0.23681640625,-0.423095703125,-0.47357177734375,-0.38433837890625,0.67010498046875
9.0,-1.0,11.0,-21.0,-5.0,-13.0,-18.0,-95.0,0.96630859375,-0.19677734375,0.2529296875,-0.42169189453125,-0.4732666015625,-0.38458251953125,0.6710205078125
9.0,15.0,18.0,9.0,1.0,-17.0,-13.0,-84.0,0.96630859375,-0.19677734375,0.2529296875,-0.42169189453125,-0.4732666015625,-0.38458251953125,0.6710205078125
13.0,-10.0,-13.0,-21.0,-9.0,10.0,4.0,-76.0,0.98681640625,-0.15869140625,0.25634765625,-0.42041015625,-0.4732666015625,-0.385498046875,0.67138671875
-20.0,-15.0,-18.0,-11.0,-11.0,1.0,7.0,54.0,0.9609375,-0.1748046875,0.19287109375,-0.41937255859375,-0.47381591796875,-0.38629150390625,0.67120361328125
-12.0,-12.0,5.0,-38.0,-14.0,-9.0,-2.0,-15.0,0.94140625,-0.1923828125,0.14892578125,-0.41900634765625,-0.47467041015625,-0.38671875,0.6705322265625
-18.0,-1.0,-28.0,5.0,3.0,-4.0,-1.0,40.0,0.94140625,-0.1923828125,0.14892578125,-0.41900634765625,-0.47467041015625,-0.38671875,0.6705322265625
