time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543516967.0508444,-1.0,-3.0,1.0,-4.0,-2.0,-2.0,1.0,-2.0,-0.42083740234375,-0.47882080078125,-0.37823486328125,0.67132568359375,0.9609375,-0.19677734375,0.18798828125
1543516967.0598385,0.0,1.0,-1.0,-1.0,-2.0,1.0,0.0,-2.0,-0.4207763671875,-0.47882080078125,-0.37823486328125,0.67132568359375,0.9677734375,-0.19873046875,0.1845703125
1543516967.0748365,-1.0,-6.0,2.0,-1.0,1.0,-2.0,-2.0,-1.0,-0.4207763671875,-0.47882080078125,-0.37823486328125,0.67132568359375,0.9677734375,-0.19873046875,0.1845703125
1543516967.097818,0.0,2.0,-1.0,1.0,0.0,-2.0,0.0,-2.0,-0.42095947265625,-0.4786376953125,-0.37835693359375,0.6712646484375,0.9677734375,-0.19580078125,0.19189453125
1543516967.1108644,-2.0,0.0,-13.0,-5.0,-5.0,-2.0,-1.0,-1.0,-0.42120361328125,-0.4783935546875,-0.37847900390625,0.67120361328125,0.96240234375,-0.201171875,0.1904296875
1543516967.1198049,-1.0,1.0,0.0,-2.0,-1.0,2.0,0.0,-1.0,-0.42138671875,-0.47821044921875,-0.37860107421875,0.671142578125,0.96142578125,-0.20361328125,0.19140625
1543516967.1347983,-1.0,0.0,4.0,2.0,0.0,1.0,-2.0,0.0,-0.42138671875,-0.47821044921875,-0.37860107421875,0.671142578125,0.96142578125,-0.20361328125,0.19140625
1543516967.164779,0.0,4.0,1.0,0.0,-3.0,-5.0,-1.0,-2.0,-0.42138671875,-0.4781494140625,-0.37860107421875,0.67120361328125,0.95703125,-0.21044921875,0.1982421875
1543516967.1707947,-2.0,2.0,5.0,1.0,-1.0,-1.0,-2.0,-1.0,-0.42138671875,-0.4781494140625,-0.37860107421875,0.67120361328125,0.9609375,-0.2109375,0.19384765625
1543516967.1787894,4.0,2.0,0.0,1.0,-1.0,-3.0,2.0,0.0,-0.42138671875,-0.47808837890625,-0.37860107421875,0.67120361328125,0.95556640625,-0.216796875,0.19091796875
1543516967.194761,0.0,8.0,3.0,2.0,-1.0,3.0,0.0,-1.0,-0.42138671875,-0.47808837890625,-0.37860107421875,0.67120361328125,0.95556640625,-0.216796875,0.19091796875
1543516967.2177508,-10.0,-31.0,0.0,-18.0,-6.0,-4.0,-2.0,-1.0,-0.42120361328125,-0.478271484375,-0.37847900390625,0.67132568359375,0.9609375,-0.21044921875,0.185546875
1543516967.2397592,-5.0,-8.0,5.0,0.0,1.0,5.0,2.0,0.0,-0.421142578125,-0.4783935546875,-0.378173828125,0.67144775390625,0.9521484375,-0.22607421875,0.1845703125
1543516967.254735,-4.0,4.0,9.0,1.0,2.0,2.0,-1.0,1.0,-0.42138671875,-0.478759765625,-0.377685546875,0.6712646484375,0.95751953125,-0.2373046875,0.15478515625
1543516967.2777147,-6.0,9.0,-8.0,1.0,-7.0,-4.0,-3.0,2.0,-0.42144775390625,-0.4801025390625,-0.37689208984375,0.67071533203125,0.966796875,-0.212890625,0.1474609375
1543516967.299734,42.0,20.0,10.0,-11.0,-5.0,-24.0,-18.0,-15.0,-0.42108154296875,-0.48187255859375,-0.37628173828125,0.6700439453125,0.96533203125,-0.177734375,0.15576171875
1543516967.3147464,-19.0,-21.0,-6.0,-6.0,0.0,3.0,0.0,-5.0,-0.42120361328125,-0.48260498046875,-0.37615966796875,0.66949462890625,0.97900390625,-0.19384765625,0.18408203125
1543516967.3376794,10.0,5.0,-12.0,3.0,1.0,5.0,5.0,13.0,-0.420654296875,-0.482666015625,-0.37628173828125,0.66973876953125,0.9912109375,-0.19287109375,0.2373046875
1543516967.3597198,21.0,16.0,1.0,-2.0,-1.0,-6.0,-2.0,-11.0,-0.419921875,-0.48187255859375,-0.37701416015625,0.6702880859375,0.9892578125,-0.1884765625,0.2646484375
1543516967.3746605,-1.0,-3.0,12.0,15.0,5.0,1.0,5.0,-23.0,-0.419189453125,-0.48126220703125,-0.37762451171875,0.6708984375,0.98193359375,-0.185546875,0.25537109375
1543516967.381673,1.0,1.0,-12.0,-2.0,9.0,6.0,2.0,32.0,-0.4190673828125,-0.48046875,-0.3779296875,0.67138671875,0.98681640625,-0.1962890625,0.2275390625
1543516967.4046955,11.0,-18.0,3.0,12.0,1.0,6.0,6.0,55.0,-0.4190673828125,-0.48046875,-0.3779296875,0.67138671875,0.98681640625,-0.1962890625,0.2275390625
1543516967.4196877,40.0,-5.0,-15.0,-3.0,-17.0,-3.0,6.0,-24.0,-0.418701171875,-0.4798583984375,-0.3778076171875,0.672119140625,0.966796875,-0.2060546875,0.1875
1543516967.4346282,-28.0,-3.0,-5.0,-23.0,-6.0,-1.0,-3.0,-12.0,-0.4173583984375,-0.47943115234375,-0.3775634765625,0.67333984375,0.95947265625,-0.2177734375,0.19873046875
1543516967.4416196,18.0,14.0,9.0,4.0,9.0,1.0,3.0,-45.0,-0.41583251953125,-0.4801025390625,-0.377685546875,0.67376708984375,0.9521484375,-0.17529296875,0.16015625
1543516967.457612,16.0,-9.0,-10.0,-33.0,-5.0,1.0,1.0,62.0,-0.41583251953125,-0.4801025390625,-0.377685546875,0.67376708984375,0.9521484375,-0.17529296875,0.16015625
1543516967.481605,21.0,33.0,24.0,11.0,13.0,-6.0,-4.0,23.0,-0.41400146484375,-0.48095703125,-0.3778076171875,0.67425537109375,0.95361328125,-0.18408203125,0.16552734375
1543516967.494589,-48.0,12.0,-2.0,25.0,8.0,7.0,5.0,-51.0,-0.41229248046875,-0.48089599609375,-0.37847900390625,0.67498779296875,0.970703125,-0.19091796875,0.2041015625
1543516967.5015876,-35.0,34.0,16.0,-3.0,-5.0,-13.0,-17.0,21.0,-0.41107177734375,-0.48095703125,-0.3785400390625,0.67559814453125,0.94873046875,-0.18701171875,0.16845703125
1543516967.5169601,-13.0,4.0,-17.0,-8.0,-2.0,-7.0,-16.0,38.0,-0.41107177734375,-0.48095703125,-0.3785400390625,0.67559814453125,0.94873046875,-0.18701171875,0.16845703125
1543516967.5219758,-30.0,-60.0,9.0,-37.0,-6.0,-10.0,-3.0,32.0,-0.41009521484375,-0.48114013671875,-0.3785400390625,0.676025390625,0.9677734375,-0.189453125,0.18017578125
1543516967.5399482,10.0,19.0,-9.0,27.0,0.0,9.0,31.0,16.0,-0.41009521484375,-0.48114013671875,-0.3785400390625,0.676025390625,0.9677734375,-0.189453125,0.18017578125
1543516967.553991,14.0,-15.0,17.0,-22.0,-3.0,-19.0,-12.0,-69.0,-0.4091796875,-0.4814453125,-0.37896728515625,0.6761474609375,0.97119140625,-0.18798828125,0.20068359375
1543516967.5619338,10.0,-19.0,10.0,-19.0,-25.0,-14.0,-64.0,-103.0,-0.407470703125,-0.48260498046875,-0.37945556640625,0.6761474609375,0.96337890625,-0.169921875,0.1943359375
1543516967.5779252,-9.0,-12.0,52.0,0.0,5.0,21.0,-53.0,-6.0,-0.407470703125,-0.48260498046875,-0.37945556640625,0.6761474609375,0.96337890625,-0.169921875,0.1943359375
1543516967.5999227,-16.0,26.0,-8.0,-50.0,-35.0,-18.0,-52.0,-25.0,-0.40582275390625,-0.4832763671875,-0.38031005859375,0.6761474609375,0.96875,-0.171875,0.20849609375
1543516967.6139777,-41.0,-64.0,-88.0,-13.0,-14.0,9.0,-64.0,34.0,-0.40411376953125,-0.48431396484375,-0.380615234375,0.67626953125,0.9482421875,-0.20166015625,0.18408203125
1543516967.6209211,17.0,-12.0,22.0,-8.0,-39.0,-32.0,33.0,17.0,-0.40142822265625,-0.48583984375,-0.380615234375,0.6767578125,0.96826171875,-0.17041015625,0.2021484375
1543516967.6369133,24.0,45.0,-43.0,-13.0,2.0,9.0,-47.0,-13.0,-0.40142822265625,-0.48583984375,-0.380615234375,0.6767578125,0.96826171875,-0.17041015625,0.2021484375
1543516967.6439111,3.0,24.0,14.0,-43.0,-18.0,5.0,69.0,-14.0,-0.3980712890625,-0.48876953125,-0.38140869140625,0.6761474609375,0.958984375,-0.18408203125,0.18798828125
1543516967.6589556,6.0,2.0,22.0,45.0,32.0,-1.0,30.0,18.0,-0.3980712890625,-0.48876953125,-0.38140869140625,0.6761474609375,0.958984375,-0.18408203125,0.18798828125
1543516967.6658957,5.0,4.0,-33.0,-27.0,-4.0,10.0,-21.0,86.0,-0.39715576171875,-0.4903564453125,-0.38177490234375,0.67535400390625,0.966796875,-0.1748046875,0.1884765625
1543516967.6738925,21.0,-49.0,17.0,16.0,-7.0,-13.0,17.0,-113.0,-0.39715576171875,-0.4903564453125,-0.38177490234375,0.67535400390625,0.966796875,-0.1748046875,0.1884765625
1543516967.6818864,2.0,29.0,8.0,0.0,-5.0,10.0,26.0,62.0,-0.39715576171875,-0.4903564453125,-0.38177490234375,0.67535400390625,0.966796875,-0.1748046875,0.1884765625
1543516967.6968808,-14.0,-8.0,-17.0,20.0,0.0,-11.0,32.0,25.0,-0.39666748046875,-0.49139404296875,-0.382568359375,0.6744384765625,0.96826171875,-0.1591796875,0.19580078125
1543516967.7038739,40.0,-11.0,8.0,21.0,55.0,32.0,-34.0,-87.0,-0.39617919921875,-0.49176025390625,-0.383544921875,0.67388916015625,0.97607421875,-0.13330078125,0.21044921875
1543516967.727863,-27.0,42.0,42.0,-4.0,-3.0,-15.0,40.0,-8.0,-0.39617919921875,-0.49176025390625,-0.383544921875,0.67388916015625,0.97607421875,-0.13330078125,0.21044921875
1543516967.7348623,-8.0,1.0,22.0,-17.0,3.0,-2.0,13.0,-33.0,-0.39642333984375,-0.49224853515625,-0.385009765625,0.672607421875,0.96484375,-0.13720703125,0.19287109375
1543516967.7418532,20.0,5.0,-15.0,31.0,20.0,19.0,-6.0,37.0,-0.39642333984375,-0.49224853515625,-0.385009765625,0.672607421875,0.96484375,-0.13720703125,0.19287109375
1543516967.7568443,6.0,6.0,-49.0,9.0,0.0,4.0,13.0,42.0,-0.39630126953125,-0.49322509765625,-0.3858642578125,0.67144775390625,0.966796875,-0.1376953125,0.18505859375
1543516967.7638419,13.0,23.0,6.0,-14.0,-9.0,-3.0,17.0,41.0,-0.39630126953125,-0.49365234375,-0.38677978515625,0.67059326171875,0.97509765625,-0.140625,0.20458984375
1543516967.7788846,-11.0,4.0,4.0,16.0,-1.0,-5.0,4.0,66.0,-0.39630126953125,-0.49365234375,-0.38677978515625,0.67059326171875,0.97509765625,-0.140625,0.20458984375
1543516967.786827,-2.0,-4.0,-5.0,9.0,-6.0,-13.0,11.0,4.0,-0.3968505859375,-0.49359130859375,-0.38775634765625,0.66973876953125,0.9775390625,-0.14599609375,0.208984375
1543516967.7938414,-4.0,-5.0,7.0,-18.0,7.0,12.0,20.0,-4.0,-0.3968505859375,-0.49359130859375,-0.38775634765625,0.66973876953125,0.9775390625,-0.14599609375,0.208984375
1543516967.8018177,-43.0,-7.0,-6.0,-14.0,7.0,-2.0,-100.0,-128.0,-0.3968505859375,-0.49359130859375,-0.38775634765625,0.66973876953125,0.9775390625,-0.14599609375,0.208984375
1543516967.816809,-33.0,-4.0,20.0,14.0,9.0,0.0,-31.0,-65.0,-0.39801025390625,-0.4931640625,-0.38818359375,0.66912841796875,0.9716796875,-0.1865234375,0.2001953125
1543516967.8238063,-13.0,5.0,-2.0,28.0,0.0,10.0,-40.0,-35.0,-0.3988037109375,-0.4925537109375,-0.388427734375,0.66900634765625,0.978515625,-0.18359375,0.2216796875
1543516967.8388338,22.0,-5.0,6.0,-21.0,-8.0,3.0,16.0,19.0,-0.3988037109375,-0.4925537109375,-0.388427734375,0.66900634765625,0.978515625,-0.18359375,0.2216796875
1543516967.8467934,6.0,-1.0,-5.0,-9.0,-7.0,-5.0,22.0,9.0,-0.40020751953125,-0.4908447265625,-0.38897705078125,0.66900634765625,0.978515625,-0.18408203125,0.23681640625
1543516967.8537893,31.0,0.0,6.0,10.0,8.0,0.0,2.0,-9.0,-0.40020751953125,-0.4908447265625,-0.38897705078125,0.66900634765625,0.978515625,-0.18408203125,0.23681640625
1543516967.860785,7.0,-1.0,0.0,-9.0,3.0,-3.0,-75.0,-60.0,-0.40020751953125,-0.4908447265625,-0.38897705078125,0.66900634765625,0.978515625,-0.18408203125,0.23681640625
1543516967.8687797,9.0,-15.0,-1.0,9.0,-7.0,-7.0,21.0,8.0,-0.402587890625,-0.48785400390625,-0.38983154296875,0.66937255859375,0.98583984375,-0.19384765625,0.23291015625
1543516967.8767836,7.0,3.0,-29.0,3.0,3.0,-2.0,-20.0,-19.0,-0.402587890625,-0.48785400390625,-0.38983154296875,0.66937255859375,0.98583984375,-0.19384765625,0.23291015625
1543516967.8847709,3.0,4.0,12.0,10.0,0.0,-3.0,-20.0,2.0,-0.4053955078125,-0.4844970703125,-0.3907470703125,0.66949462890625,0.96435546875,-0.17822265625,0.2138671875
1543516967.898815,-41.0,-3.0,-11.0,7.0,-3.0,-4.0,-45.0,-27.0,-0.4053955078125,-0.4844970703125,-0.3907470703125,0.66949462890625,0.96435546875,-0.17822265625,0.2138671875
1543516967.9067576,-13.0,7.0,8.0,-8.0,0.0,5.0,-24.0,20.0,-0.40789794921875,-0.481689453125,-0.391357421875,0.669677734375,0.9619140625,-0.1806640625,0.20751953125
1543516967.9227495,16.0,-2.0,11.0,-1.0,-1.0,3.0,12.0,18.0,-0.40789794921875,-0.481689453125,-0.391357421875,0.669677734375,0.9619140625,-0.1806640625,0.20751953125
1543516967.9367397,26.0,5.0,14.0,31.0,-1.0,6.0,31.0,57.0,-0.4095458984375,-0.47967529296875,-0.3909912109375,0.6702880859375,0.95361328125,-0.1787109375,0.19580078125
1543516967.9447558,2.0,10.0,-3.0,9.0,4.0,-8.0,-41.0,-31.0,-0.4102783203125,-0.4783935546875,-0.38995361328125,0.67144775390625,0.9560546875,-0.18408203125,0.20751953125
1543516967.958741,-10.0,-6.0,8.0,6.0,-1.0,3.0,26.0,21.0,-0.4102783203125,-0.4783935546875,-0.38995361328125,0.67144775390625,0.9560546875,-0.18408203125,0.20751953125
1543516967.966725,-3.0,-1.0,-4.0,10.0,0.0,-1.0,-12.0,-4.0,-0.41064453125,-0.47760009765625,-0.38836669921875,0.67266845703125,0.9580078125,-0.185546875,0.2099609375
1543516967.9827154,17.0,4.0,15.0,-25.0,-2.0,1.0,6.0,9.0,-0.41064453125,-0.47760009765625,-0.38836669921875,0.67266845703125,0.9580078125,-0.185546875,0.2099609375
1543516968.004701,-15.0,-5.0,-26.0,18.0,-2.0,-4.0,-8.0,-6.0,-0.410400390625,-0.47735595703125,-0.386474609375,0.674072265625,0.9619140625,-0.1904296875,0.22900390625
1543516968.0187087,2.0,3.0,3.0,2.0,0.0,0.0,7.0,11.0,-0.41033935546875,-0.4774169921875,-0.385009765625,0.67486572265625,0.95458984375,-0.17626953125,0.22021484375
1543516968.02669,-7.0,2.0,-12.0,-1.0,1.0,2.0,-3.0,-8.0,-0.41070556640625,-0.47796630859375,-0.38360595703125,0.675048828125,0.962890625,-0.15087890625,0.2021484375
