time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517643.4432292,-2.0,-2.0,-5.0,-3.0,-4.0,-4.0,-1.0,-3.0,-0.47674560546875,-0.0020751953125,0.011474609375,0.87896728515625,-0.005859375,-0.88330078125,0.595703125
1543517643.457221,0.0,-2.0,2.0,2.0,8.0,7.0,7.0,-2.0,-0.4766845703125,-0.0020751953125,0.011474609375,0.87896728515625,-0.0009765625,-0.87841796875,0.5888671875
1543517643.4652145,0.0,-1.0,-6.0,-5.0,3.0,-1.0,-2.0,0.0,-0.4766845703125,-0.0020751953125,0.01123046875,0.87896728515625,0.0009765625,-0.8759765625,0.58544921875
1543517643.4802585,-2.0,3.0,-2.0,2.0,12.0,-2.0,-5.0,0.0,-0.4766845703125,-0.0020751953125,0.01123046875,0.87896728515625,0.0009765625,-0.8759765625,0.58544921875
1543517643.503194,2.0,-1.0,1.0,-3.0,-7.0,-9.0,-5.0,-3.0,-0.4766845703125,-0.00213623046875,0.01080322265625,0.87896728515625,0.00390625,-0.884765625,0.5859375
1543517643.5162373,-2.0,-4.0,-3.0,-3.0,-6.0,-2.0,-2.0,-2.0,-0.476806640625,-0.00213623046875,0.01031494140625,0.87896728515625,0.00341796875,-0.880859375,0.5771484375
1543517643.5251808,-3.0,0.0,-1.0,-1.0,9.0,-3.0,-3.0,-2.0,-0.47686767578125,-0.002197265625,0.009765625,0.87890625,0.00390625,-0.890625,0.5830078125
1543517643.540225,-2.0,-7.0,-1.0,0.0,1.0,-2.0,-2.0,-1.0,-0.47686767578125,-0.002197265625,0.009765625,0.87890625,0.00390625,-0.890625,0.5830078125
1543517643.563159,-2.0,-2.0,-6.0,-1.0,-1.0,-1.0,0.0,1.0,-0.4769287109375,-0.00225830078125,0.00933837890625,0.87884521484375,-0.00048828125,-0.88720703125,0.58349609375
1543517643.5771525,0.0,1.0,0.0,0.0,3.0,1.0,0.0,-1.0,-0.47705078125,-0.00238037109375,0.00897216796875,0.87884521484375,-0.0009765625,-0.88671875,0.5703125
1543517643.5851448,-1.0,1.0,2.0,1.0,3.0,0.0,-2.0,-2.0,-0.47698974609375,-0.00244140625,0.0086669921875,0.87884521484375,-0.00634765625,-0.88671875,0.58056640625
