emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-13.0,-10.0,5.0,1.0,0.0,1.0,0.0,-16.0,0.96044921875,-0.2255859375,0.18603515625,-0.4027099609375,-0.4964599609375,-0.35369873046875,0.682861328125
12.0,11.0,2.0,-9.0,3.0,1.0,-2.0,2.0,0.96435546875,-0.21923828125,0.17724609375,-0.40252685546875,-0.49658203125,-0.3533935546875,0.68304443359375
-7.0,23.0,17.0,2.0,-2.0,-7.0,-3.0,-12.0,0.953125,-0.2041015625,0.1748046875,-0.40228271484375,-0.49700927734375,-0.3531494140625,0.6829833984375
35.0,34.0,-3.0,-1.0,0.0,-1.0,1.0,27.0,0.9609375,-0.197265625,0.17919921875,-0.40191650390625,-0.49755859375,-0.3529052734375,0.68292236328125
18.0,2.0,3.0,-5.0,-2.0,0.0,-6.0,7.0,0.9609375,-0.197265625,0.17919921875,-0.40191650390625,-0.49755859375,-0.3529052734375,0.68292236328125
-19.0,39.0,-4.0,-6.0,-9.0,-23.0,-32.0,-31.0,0.9638671875,-0.2099609375,0.17333984375,-0.40240478515625,-0.49774169921875,-0.3529052734375,0.6824951171875
-40.0,-87.0,9.0,-18.0,-10.0,-1.0,-4.0,-25.0,0.96240234375,-0.20947265625,0.17041015625,-0.40301513671875,-0.49798583984375,-0.35308837890625,0.681884765625
5.0,49.0,-8.0,6.0,24.0,6.0,-12.0,32.0,0.96142578125,-0.23095703125,0.1748046875,-0.40380859375,-0.4984130859375,-0.35321044921875,0.6810302734375
1.0,-75.0,-52.0,-54.0,-52.0,-18.0,25.0,-76.0,0.96142578125,-0.23095703125,0.1748046875,-0.40380859375,-0.4984130859375,-0.35321044921875,0.6810302734375
-11.0,-76.0,11.0,45.0,6.0,36.0,-11.0,-51.0,0.9609375,-0.23388671875,0.1962890625,-0.40399169921875,-0.498779296875,-0.35369873046875,0.680419921875
