emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-6.0,-10.0,-14.0,-20.0,-5.0,-3.0,-3.0,1.0,0.95751953125,-0.21533203125,0.1796875,-0.4156494140625,-0.48443603515625,-0.37139892578125,0.67431640625
-9.0,-4.0,0.0,20.0,-1.0,0.0,-1.0,-3.0,0.95654296875,-0.201171875,0.1875,-0.415283203125,-0.4847412109375,-0.3712158203125,0.6744384765625
3.0,-8.0,-13.0,-11.0,-1.0,-2.0,0.0,0.0,0.95947265625,-0.2177734375,0.1845703125,-0.41534423828125,-0.48480224609375,-0.3712158203125,0.67431640625
-4.0,-2.0,14.0,1.0,2.0,-2.0,0.0,1.0,0.95947265625,-0.2177734375,0.1845703125,-0.41534423828125,-0.48480224609375,-0.3712158203125,0.67431640625
18.0,20.0,9.0,6.0,-3.0,-5.0,-3.0,-3.0,0.95751953125,-0.21875,0.154296875,-0.4154052734375,-0.48486328125,-0.37115478515625,0.67425537109375
-4.0,-53.0,-6.0,-4.0,-3.0,1.0,2.0,22.0,0.955078125,-0.2060546875,0.16162109375,-0.41546630859375,-0.485595703125,-0.37066650390625,0.67401123046875
2.0,19.0,5.0,15.0,1.0,8.0,3.0,44.0,0.9736328125,-0.205078125,0.17724609375,-0.41552734375,-0.486328125,-0.3702392578125,0.673583984375
23.0,27.0,-1.0,-5.0,-4.0,-7.0,-6.0,-8.0,0.9736328125,-0.205078125,0.17724609375,-0.41552734375,-0.486328125,-0.3702392578125,0.673583984375
-17.0,-46.0,13.0,-6.0,-3.0,-9.0,-9.0,-9.0,0.97998046875,-0.19140625,0.21728515625,-0.41497802734375,-0.48687744140625,-0.37017822265625,0.673583984375
-37.0,47.0,-9.0,-9.0,3.0,1.0,-5.0,6.0,0.97607421875,-0.19287109375,0.2080078125,-0.41473388671875,-0.48712158203125,-0.3704833984375,0.67340087890625
23.0,-28.0,23.0,5.0,-4.0,-17.0,-8.0,-28.0,0.97265625,-0.1728515625,0.23876953125,-0.4140625,-0.48724365234375,-0.37127685546875,0.67327880859375
2.0,26.0,0.0,-14.0,-10.0,-2.0,5.0,1.0,0.97265625,-0.1728515625,0.23876953125,-0.4140625,-0.48724365234375,-0.37127685546875,0.67327880859375
18.0,-2.0,9.0,8.0,-6.0,9.0,10.0,57.0,0.99365234375,-0.17431640625,0.23681640625,-0.41278076171875,-0.4876708984375,-0.37176513671875,0.67352294921875
-36.0,15.0,7.0,10.0,-9.0,-2.0,-3.0,-96.0,0.99755859375,-0.18798828125,0.24462890625,-0.4112548828125,-0.4876708984375,-0.372314453125,0.67413330078125
-63.0,-51.0,34.0,-11.0,-9.0,-14.0,-12.0,-74.0,0.978515625,-0.1591796875,0.21337890625,-0.408935546875,-0.48760986328125,-0.3729248046875,0.67523193359375
58.0,52.0,-20.0,-3.0,7.0,3.0,-52.0,-47.0,0.978515625,-0.1591796875,0.21337890625,-0.408935546875,-0.48760986328125,-0.3729248046875,0.67523193359375
-5.0,-13.0,-25.0,-4.0,2.0,-5.0,-11.0,-35.0,0.96484375,-0.1748046875,0.2001953125,-0.40667724609375,-0.4876708984375,-0.37347412109375,0.67626953125
0.0,-35.0,44.0,13.0,10.0,3.0,-9.0,-40.0,0.96923828125,-0.24609375,0.197265625,-0.4061279296875,-0.48675537109375,-0.37384033203125,0.6771240234375
-35.0,17.0,-10.0,13.0,-10.0,2.0,-30.0,-71.0,0.94140625,-0.22900390625,0.1611328125,-0.40478515625,-0.4869384765625,-0.3734130859375,0.677978515625
26.0,-6.0,-14.0,11.0,12.0,4.0,-1.0,-2.0,0.94140625,-0.22900390625,0.1611328125,-0.40478515625,-0.4869384765625,-0.3734130859375,0.677978515625
-54.0,-89.0,26.0,-27.0,-3.0,-2.0,41.0,4.0,0.95947265625,-0.19970703125,0.18603515625,-0.40228271484375,-0.4874267578125,-0.37310791015625,0.67926025390625
38.0,8.0,-4.0,34.0,8.0,15.0,-28.0,-78.0,0.94970703125,-0.18310546875,0.18115234375,-0.400390625,-0.48809814453125,-0.3729248046875,0.6800537109375
-40.0,67.0,41.0,39.0,7.0,-12.0,-66.0,-59.0,0.94873046875,-0.12646484375,0.173828125,-0.3985595703125,-0.48919677734375,-0.3734130859375,0.6800537109375
-37.0,-21.0,-33.0,0.0,-7.0,-9.0,-10.0,-18.0,0.94873046875,-0.12646484375,0.173828125,-0.3985595703125,-0.48919677734375,-0.3734130859375,0.6800537109375
64.0,61.0,56.0,-88.0,-27.0,5.0,83.0,82.0,0.95751953125,-0.1982421875,0.1943359375,-0.39776611328125,-0.48968505859375,-0.37396240234375,0.67987060546875
59.0,19.0,-27.0,-22.0,3.0,7.0,20.0,127.0,0.95654296875,-0.17333984375,0.203125,-0.3961181640625,-0.49078369140625,-0.37420654296875,0.67987060546875
-101.0,-44.0,-17.0,-21.0,-16.0,-24.0,-36.0,-125.0,0.9599609375,-0.1337890625,0.1787109375,-0.39373779296875,-0.4932861328125,-0.37445068359375,0.67926025390625
71.0,-27.0,45.0,118.0,13.0,-3.0,-89.0,-68.0,0.9599609375,-0.1337890625,0.1787109375,-0.39373779296875,-0.4932861328125,-0.37445068359375,0.67926025390625
-68.0,-91.0,-37.0,-56.0,-11.0,-16.0,45.0,-5.0,0.96337890625,-0.142578125,0.18212890625,-0.3914794921875,-0.49554443359375,-0.3751220703125,0.67864990234375
-19.0,-28.0,-3.0,-41.0,-9.0,11.0,-91.0,-79.0,0.97607421875,-0.11767578125,0.19384765625,-0.38958740234375,-0.49755859375,-0.37640380859375,0.677490234375
-3.0,-27.0,-12.0,-43.0,36.0,4.0,-68.0,-84.0,0.97705078125,-0.1337890625,0.1923828125,-0.38836669921875,-0.4990234375,-0.37786865234375,0.67626953125
66.0,49.0,24.0,46.0,-25.0,1.0,6.0,20.0,0.986328125,-0.130859375,0.19921875,-0.38720703125,-0.500244140625,-0.3792724609375,0.67529296875
-28.0,69.0,48.0,56.0,-2.0,-19.0,-55.0,27.0,0.974609375,-0.1064453125,0.19970703125,-0.385986328125,-0.5013427734375,-0.38092041015625,0.6741943359375
25.0,-3.0,-12.0,34.0,-9.0,17.0,-29.0,43.0,0.97900390625,-0.10498046875,0.16796875,-0.38543701171875,-0.50262451171875,-0.382568359375,0.67266845703125
-91.0,12.0,-28.0,-71.0,-7.0,8.0,10.0,-70.0,0.97900390625,-0.10498046875,0.16796875,-0.38543701171875,-0.50262451171875,-0.382568359375,0.67266845703125
56.0,8.0,22.0,17.0,5.0,13.0,98.0,-47.0,0.97705078125,-0.11376953125,0.17626953125,-0.38507080078125,-0.50347900390625,-0.38427734375,0.6712646484375
-64.0,25.0,-62.0,31.0,1.0,-5.0,60.0,127.0,0.982421875,-0.14892578125,0.201171875,-0.38543701171875,-0.50347900390625,-0.385986328125,0.67010498046875
24.0,-1.0,-18.0,-22.0,-19.0,11.0,44.0,-12.0,0.9853515625,-0.1455078125,0.19921875,-0.3858642578125,-0.50335693359375,-0.38714599609375,0.66925048828125
-42.0,-16.0,-1.0,-11.0,10.0,-10.0,-10.0,-90.0,0.9853515625,-0.1455078125,0.19921875,-0.3858642578125,-0.50335693359375,-0.38714599609375,0.66925048828125
-31.0,-24.0,-11.0,2.0,-4.0,-13.0,-63.0,-10.0,0.96826171875,-0.140625,0.1904296875,-0.38629150390625,-0.50341796875,-0.3883056640625,0.66827392578125
23.0,19.0,38.0,4.0,-11.0,-6.0,104.0,108.0,0.974609375,-0.14892578125,0.17529296875,-0.386962890625,-0.50360107421875,-0.38909912109375,0.6673583984375
-16.0,-9.0,19.0,-21.0,15.0,8.0,-73.0,-115.0,0.97802734375,-0.1259765625,0.19287109375,-0.3875732421875,-0.50335693359375,-0.3900146484375,0.66656494140625
28.0,9.0,-17.0,5.0,2.0,-10.0,-41.0,-8.0,0.97802734375,-0.1259765625,0.19287109375,-0.3875732421875,-0.50335693359375,-0.3900146484375,0.66656494140625
96.0,16.0,4.0,14.0,4.0,8.0,-6.0,-27.0,0.9716796875,-0.14013671875,0.2001953125,-0.388916015625,-0.50244140625,-0.390869140625,0.666015625
70.0,-7.0,-62.0,-51.0,-11.0,6.0,83.0,127.0,0.970703125,-0.154296875,0.23193359375,-0.3905029296875,-0.50048828125,-0.3916015625,0.6661376953125
-14.0,-10.0,28.0,14.0,0.0,-11.0,-60.0,-73.0,0.98193359375,-0.17431640625,0.228515625,-0.39300537109375,-0.49725341796875,-0.3922119140625,0.66668701171875
-78.0,9.0,38.0,51.0,11.0,3.0,-105.0,-96.0,0.98193359375,-0.17431640625,0.228515625,-0.39300537109375,-0.49725341796875,-0.3922119140625,0.66668701171875
-22.0,6.0,-16.0,-3.0,1.0,-4.0,-24.0,-15.0,0.9755859375,-0.19921875,0.23291015625,-0.39605712890625,-0.4931640625,-0.3924560546875,0.66778564453125
-24.0,6.0,10.0,-17.0,-8.0,-4.0,1.0,-15.0,0.9755859375,-0.19921875,0.23291015625,-0.39605712890625,-0.4931640625,-0.3924560546875,0.66778564453125
-19.0,-7.0,3.0,32.0,7.0,-2.0,2.0,-5.0,0.97021484375,-0.1943359375,0.22509765625,-0.39849853515625,-0.4893798828125,-0.39190673828125,0.66943359375
8.0,3.0,1.0,-16.0,-2.0,-1.0,-2.0,6.0,0.96630859375,-0.18896484375,0.21923828125,-0.39996337890625,-0.48663330078125,-0.3905029296875,0.67138671875
-9.0,0.0,0.0,-7.0,-1.0,-1.0,-1.0,17.0,0.96630859375,-0.18896484375,0.21923828125,-0.39996337890625,-0.48663330078125,-0.3905029296875,0.67138671875
-19.0,1.0,-8.0,-14.0,-5.0,-6.0,-12.0,-6.0,0.974609375,-0.1572265625,0.24462890625,-0.39984130859375,-0.48492431640625,-0.3887939453125,0.67364501953125
-22.0,-5.0,-23.0,10.0,1.0,-5.0,-1.0,5.0,0.974609375,-0.1572265625,0.24462890625,-0.39984130859375,-0.48492431640625,-0.3887939453125,0.67364501953125
0.0,0.0,25.0,1.0,-1.0,0.0,-3.0,0.0,0.96435546875,-0.1630859375,0.2177734375,-0.400146484375,-0.4835205078125,-0.38702392578125,0.675537109375
-10.0,-3.0,-26.0,-2.0,-1.0,-1.0,-4.0,-3.0,0.9453125,-0.16064453125,0.21435546875,-0.4017333984375,-0.48193359375,-0.385498046875,0.67657470703125
-8.0,-8.0,7.0,-13.0,-1.0,-7.0,-3.0,1.0,0.9365234375,-0.17626953125,0.1953125,-0.40399169921875,-0.48040771484375,-0.38360595703125,0.67742919921875
-3.0,6.0,8.0,-6.0,1.0,-1.0,-1.0,4.0,0.95263671875,-0.22119140625,0.17724609375,-0.40777587890625,-0.47906494140625,-0.38165283203125,0.67718505859375
2.0,-4.0,-35.0,-10.0,-2.0,-2.0,3.0,1.0,0.95361328125,-0.2265625,0.1865234375,-0.410400390625,-0.47833251953125,-0.37939453125,0.6773681640625
3.0,-1.0,2.0,3.0,1.0,-1.0,-4.0,1.0,0.9443359375,-0.20947265625,0.17626953125,-0.41156005859375,-0.478759765625,-0.37664794921875,0.67791748046875
