emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-15.0,-30.0,-7.0,-2.0,-2.0,0.0,1.0,6.0,0.9560546875,-0.21337890625,0.19140625,-0.415283203125,-0.486572265625,-0.36859130859375,0.67449951171875
-4.0,-14.0,11.0,-13.0,-6.0,-2.0,0.0,-9.0,0.96337890625,-0.22607421875,0.18408203125,-0.4154052734375,-0.48675537109375,-0.3685302734375,0.67431640625
58.0,20.0,-16.0,0.0,2.0,-7.0,1.0,31.0,0.96337890625,-0.22607421875,0.18408203125,-0.4154052734375,-0.48675537109375,-0.3685302734375,0.67431640625
12.0,47.0,4.0,-4.0,-5.0,-2.0,-76.0,-12.0,0.955078125,-0.22265625,0.14404296875,-0.4161376953125,-0.487060546875,-0.36865234375,0.673583984375
4.0,20.0,4.0,7.0,3.0,4.0,31.0,34.0,0.95947265625,-0.228515625,0.12890625,-0.41705322265625,-0.48797607421875,-0.3685302734375,0.6724853515625
-15.0,-30.0,-1.0,-8.0,-2.0,0.0,31.0,-17.0,0.95947265625,-0.228515625,0.12890625,-0.41705322265625,-0.48797607421875,-0.3685302734375,0.6724853515625
-28.0,0.0,-14.0,-3.0,1.0,5.0,-41.0,17.0,0.97509765625,-0.1884765625,0.19482421875,-0.415771484375,-0.48883056640625,-0.3681640625,0.67279052734375
27.0,-27.0,13.0,-5.0,-5.0,-5.0,46.0,15.0,0.97509765625,-0.1884765625,0.19482421875,-0.415771484375,-0.48883056640625,-0.3681640625,0.67279052734375
-80.0,15.0,-20.0,3.0,13.0,8.0,-22.0,106.0,0.982421875,-0.22021484375,0.2626953125,-0.41473388671875,-0.4884033203125,-0.36822509765625,0.6737060546875
68.0,33.0,-15.0,9.0,-13.0,-10.0,11.0,58.0,0.9765625,-0.21142578125,0.23193359375,-0.4132080078125,-0.488037109375,-0.36846923828125,0.67474365234375
-33.0,-38.0,-15.0,-30.0,16.0,6.0,0.0,-124.0,0.9765625,-0.21142578125,0.23193359375,-0.4132080078125,-0.488037109375,-0.36846923828125,0.67474365234375
35.0,-11.0,45.0,-4.0,-9.0,-6.0,-21.0,78.0,0.96337890625,-0.16748046875,0.22998046875,-0.41156005859375,-0.48858642578125,-0.36907958984375,0.675048828125
-2.0,7.0,-43.0,-10.0,-13.0,-10.0,10.0,109.0,0.96337890625,-0.16748046875,0.22998046875,-0.41156005859375,-0.48858642578125,-0.36907958984375,0.675048828125
88.0,27.0,34.0,-12.0,-17.0,9.0,-21.0,-128.0,0.98779296875,-0.1181640625,0.171875,-0.41046142578125,-0.4903564453125,-0.36956787109375,0.6741943359375
36.0,83.0,20.0,28.0,8.0,18.0,-22.0,-56.0,0.98779296875,-0.1181640625,0.171875,-0.41046142578125,-0.4903564453125,-0.36956787109375,0.6741943359375
-34.0,39.0,3.0,-19.0,-10.0,-16.0,-7.0,68.0,0.99755859375,-0.193359375,0.216796875,-0.40771484375,-0.4906005859375,-0.369873046875,0.67547607421875
-12.0,13.0,-11.0,12.0,18.0,8.0,-5.0,18.0,0.98828125,-0.13232421875,0.255859375,-0.403564453125,-0.48992919921875,-0.3712158203125,0.677734375
-45.0,-2.0,-4.0,26.0,-6.0,-13.0,-22.0,-1.0,0.98828125,-0.13232421875,0.255859375,-0.403564453125,-0.48992919921875,-0.3712158203125,0.677734375
45.0,38.0,55.0,25.0,13.0,9.0,-10.0,42.0,0.953125,-0.12890625,0.20703125,-0.40167236328125,-0.4892578125,-0.37249755859375,0.6785888671875
2.0,-1.0,0.0,-22.0,1.0,-7.0,-74.0,-16.0,0.953125,-0.12890625,0.20703125,-0.40167236328125,-0.4892578125,-0.37249755859375,0.6785888671875
18.0,-60.0,-16.0,29.0,7.0,20.0,63.0,18.0,0.95361328125,-0.24560546875,0.14306640625,-0.40301513671875,-0.488525390625,-0.37322998046875,0.677978515625
7.0,70.0,-4.0,-8.0,0.0,-19.0,-103.0,-91.0,0.9609375,-0.25537109375,0.18798828125,-0.40216064453125,-0.488525390625,-0.37286376953125,0.67864990234375
-24.0,-96.0,36.0,-2.0,11.0,37.0,100.0,41.0,0.9609375,-0.25537109375,0.18798828125,-0.40216064453125,-0.488525390625,-0.37286376953125,0.67864990234375
30.0,35.0,-70.0,23.0,5.0,6.0,25.0,59.0,0.95751953125,-0.17333984375,0.19140625,-0.39971923828125,-0.48944091796875,-0.372802734375,0.67950439453125
40.0,-86.0,31.0,-58.0,-13.0,-14.0,26.0,55.0,0.95751953125,-0.17333984375,0.19140625,-0.39971923828125,-0.48944091796875,-0.372802734375,0.67950439453125
-13.0,25.0,27.0,-46.0,-18.0,-22.0,34.0,-14.0,0.95166015625,-0.14794921875,0.203125,-0.39752197265625,-0.49041748046875,-0.3734130859375,0.67974853515625
49.0,-20.0,-31.0,-21.0,6.0,13.0,-24.0,-35.0,0.95166015625,-0.14794921875,0.203125,-0.39752197265625,-0.49041748046875,-0.3734130859375,0.67974853515625
63.0,104.0,51.0,5.0,-35.0,-4.0,57.0,88.0,0.94287109375,-0.142578125,0.18798828125,-0.395751953125,-0.491943359375,-0.3743896484375,0.67919921875
-47.0,-8.0,-3.0,-10.0,17.0,-12.0,-51.0,-65.0,0.94287109375,-0.142578125,0.18798828125,-0.395751953125,-0.491943359375,-0.3743896484375,0.67919921875
108.0,72.0,30.0,83.0,8.0,-2.0,-62.0,-86.0,0.95849609375,-0.173828125,0.169921875,-0.394287109375,-0.4942626953125,-0.37506103515625,0.67791748046875
9.0,34.0,-25.0,25.0,-7.0,8.0,99.0,43.0,0.95849609375,-0.173828125,0.169921875,-0.394287109375,-0.4942626953125,-0.37506103515625,0.67791748046875
-47.0,-64.0,-15.0,-2.0,-7.0,6.0,-71.0,-82.0,0.96875,-0.1376953125,0.177734375,-0.3916015625,-0.4970703125,-0.3759765625,0.677001953125
6.0,18.0,-41.0,-7.0,7.0,15.0,-22.0,-3.0,0.9599609375,-0.119140625,0.16650390625,-0.38958740234375,-0.499755859375,-0.3770751953125,0.675537109375
71.0,58.0,21.0,-41.0,-9.0,2.0,36.0,19.0,0.9599609375,-0.119140625,0.16650390625,-0.38958740234375,-0.499755859375,-0.3770751953125,0.675537109375
-82.0,-3.0,-27.0,-67.0,-13.0,0.0,-69.0,-128.0,0.97509765625,-0.1142578125,0.15576171875,-0.38812255859375,-0.5023193359375,-0.3782958984375,0.67376708984375
47.0,9.0,-13.0,-19.0,-3.0,-17.0,-83.0,-100.0,0.97509765625,-0.1142578125,0.15576171875,-0.38812255859375,-0.5023193359375,-0.3782958984375,0.67376708984375
60.0,69.0,23.0,109.0,43.0,32.0,48.0,118.0,0.98583984375,-0.08935546875,0.18115234375,-0.38690185546875,-0.5042724609375,-0.38018798828125,0.67193603515625
